address,name
0x535568,aDataAssetsMain_103
0x5355AA,unk_5355AA
0x5355B0,aDataAssetsValk_9
0x5355FA,unk_5355FA
0x535600,aDataAssetsValk_10
0x535652,word_535652
0x535654,aDataAssetsMain_104
0x53568C,aDataAssetsMain_105
0x5356BD,unk_5356BD
0x5356C0,aDataAssetsValk_11
0x5356FB,unk_5356FB
0x535700,aDataAssetsMain_106
0x535741,unk_535741
0x535748,aDataAssetsMain_107
0x535792,unk_535792
0x535798,aDataAssetsMain_108
0x5357E2,unk_5357E2
0x5357E8,aDataAssetsMain_109
0x535836,word_535836
0x535838,aDataAssetsMain_110
0x53587C,dword_53587C
0x535880,aDataAssetsValk_12
0x5358CC,dword_5358CC
0x5358D0,aDataAssetsMain_111
0x535917,byte_535917
0x535918,aDataAssetsMain_112
0x53595E,word_53595E
0x535960,aDataAssetsMain_113
0x5359A9,unk_5359A9
0x5359B0,aDataAssetsMain_114
0x5359F9,unk_5359F9
0x535A00,aDataAssetsMain_115
0x535A42,word_535A42
0x535A44,aDataAssetsMain_116
0x535A83,byte_535A83
0x535A84,aDataAssetsMain_117
0x535AC0,aDataAssetsMain_118
0x535B00,aDataAssetsMain_119
0x535B40,aDataAssetsMain_120
0x535B80,aDataAssetsMain_121
0x535BC0,aDataAssetsMain_122
0x535BFD,unk_535BFD
0x535C00,aDataAssetsValk_13
0x535C55,unk_535C55
0x535C58,aDataAssetsValk_14
0x535CB5,unk_535CB5
0x535CB8,aDataAssetsValk_15
0x535D0C,dword_535D0C
0x535D10,aDataAssetsValk_16
0x535D6C,aDataTexturesCo
0x535D87,byte_535D87
0x535D88,aDataAssetsMain_123
0x535DCA,unk_535DCA
0x535DD0,aDataAssetsMain_124
0x535E1A,word_535E1A
0x535E1C,aDataAssetsMain_125
0x535E5A,word_535E5A
0x535E5C,aDataAssetsMain_126
0x535E96,word_535E96
0x535E98,aDataAssetsMain_127
0x535ED1,unk_535ED1
0x535ED4,aDataAssetsMain_128
0x535F0B,unk_535F0B
0x535F10,aDataAssetsMain_129
0x535F55,unk_535F55
0x535F58,aDataAssetsMain_130
0x535FA5,unk_535FA5
0x535FA8,aDataAssetsMain_131
0x535FED,unk_535FED
0x535FF0,aDataAssetsMain_132
0x53603D,unk_53603D
0x536040,aDataAssetsMain_133
0x536085,unk_536085
0x536088,aDataAssetsMain_134
0x5360D5,unk_5360D5
0x5360D8,aDataAssetsValk_17
0x536127,byte_536127
0x536128,aDataAssetsValk_18
0x53617F,byte_53617F
0x536180,aDataAssetsValk_19
0x5361CF,byte_5361CF
0x5361D0,aDataAssetsValk_20
0x536227,byte_536227
0x536228,aDataAssetsValk_21
0x536277,byte_536277
0x536278,aDataAssetsValk_22
0x5362CF,byte_5362CF
0x5362D0,aDataAssetsMain_135
0x536315,unk_536315
0x536318,aDataAssetsMain_136
0x536365,unk_536365
0x536368,aDataAssetsMain_137
0x5363AC,dword_5363AC
0x5363B0,aDataAssetsMain_138
0x5363FC,dword_5363FC
0x536400,aDataAssetsValk_23
0x53644C,dword_53644C
0x536450,aDataAssetsValk_24
0x5364A4,dword_5364A4
0x5364A8,aDataAssetsValk_25
0x5364F4,dword_5364F4
0x5364F8,aDataAssetsValk_26
0x536544,dword_536544
0x536548,aDataAssetsValk_27
0x536594,dword_536594
